Features,Accuracy
['open_pc'],33.33333333333333
['high_pc'],39.56043956043956
['low_pc'],33.6996336996337
['close_pc'],36.996336996337
['volume_pc'],35.53113553113553
['vwap_pc'],34.065934065934066
['fracocp'],36.63003663003663
['frachp'],32.6007326007326
['fraclp'],30.76923076923077
['sma_1'],32.234432234432234
['sma_2'],33.6996336996337
['sma_3'],35.8974358974359
['sma_4'],30.4029304029304
['ema_1'],41.39194139194139
['ema_2'],38.82783882783883
['ema_3'],34.43223443223443
['ema_4'],34.065934065934066
['atr'],37.362637362637365
['natr'],36.26373626373626
['tr'],35.8974358974359
['rsi'],37.72893772893773
['slow_k'],29.67032967032967
['slow_d'],39.56043956043956
['three_black_crows'],0.0
['three_inside'],33.33333333333333
['three_lines'],0.0
['three_outside'],34.065934065934066
['three_stars'],0.0
['three_whitesoldiers'],0.0
['abandoned_baby'],0.0
['advance_block'],0.0
['belthold'],31.5018315018315
['breakaway'],0.0
['closing_marubozu'],35.53113553113553
['conceal_baby'],0.0
['counterattack'],38.095238095238095
['dark_cloud_cover'],0.0
['doji'],0.0
['doji_star'],33.6996336996337
['dragonfly_doji'],0.0
['engulfing'],32.6007326007326
['evening_doji_star'],0.0
['evening_star'],0.0
['gap_side_by_side'],0.0
['gravestone_doji'],0.0
['hammer'],39.1941391941392
['hanging_man'],0.0
['harami'],0.0
['harami_cross'],32.234432234432234
['high_wave'],37.72893772893773
['hikkake'],32.234432234432234
['homing_pigeon'],0.0
['identical_three_crows'],0.0
['in_neck'],0.0
['inverted_hammer'],0.0
['kicking'],0.0
['kicking_by_length'],0.0
['ladder_bottom'],0.0
['long_leader'],0.0
['long_line'],35.16483516483517
['marubozu'],34.798534798534796
['matching_low'],0.0
['mat_hold'],0.0
['morning_doji_star'],0.0
['morning_star'],0.0
['on_neck'],0.0
['piercing'],0.0
['rickshaw_man'],0.0
['rise_fall_three_methods'],0.0
['separating_lines'],32.6007326007326
['shooting_star'],0.0
['short_line'],31.5018315018315
['spinning_top'],38.82783882783883
['stalled_pattern'],0.0
['stick_sandwich'],0.0
['takuri'],0.0
['tasuki_gap'],33.33333333333333
['thrusting'],0.0
['tristar'],0.0
['unique_3_river'],0.0
['upside_gap_2_crows'],0.0
['side_gap_3_methods'],33.6996336996337
['ad'],35.53113553113553
['adosc'],37.362637362637365
['obv'],30.4029304029304
['adx'],37.362637362637365
['ht_trendline'],36.63003663003663
['kama'],34.43223443223443
['mama'],37.72893772893773
['fama'],36.26373626373626
['sar'],37.362637362637365
['volatility'],35.16483516483517
"['open_pc', 'high_pc']",35.16483516483517
"['open_pc', 'low_pc']",36.63003663003663
"['open_pc', 'close_pc']",30.036630036630036
"['open_pc', 'volume_pc']",33.33333333333333
"['open_pc', 'vwap_pc']",39.56043956043956
"['open_pc', 'fracocp']",34.798534798534796
"['open_pc', 'frachp']",40.65934065934066
"['open_pc', 'fraclp']",31.868131868131865
"['open_pc', 'sma_1']",35.53113553113553
"['open_pc', 'sma_2']",31.868131868131865
"['open_pc', 'sma_3']",34.065934065934066
"['open_pc', 'sma_4']",34.798534798534796
"['open_pc', 'ema_1']",38.095238095238095
"['open_pc', 'ema_2']",35.16483516483517
"['open_pc', 'ema_3']",35.16483516483517
"['open_pc', 'ema_4']",37.362637362637365
"['open_pc', 'atr']",33.33333333333333
"['open_pc', 'natr']",33.6996336996337
"['open_pc', 'tr']",34.065934065934066
"['open_pc', 'rsi']",36.996336996337
"['open_pc', 'slow_k']",34.065934065934066
"['open_pc', 'slow_d']",39.56043956043956
"['open_pc', 'three_black_crows']",0.0
"['open_pc', 'three_inside']",33.33333333333333
"['open_pc', 'three_lines']",0.0
"['open_pc', 'three_outside']",34.065934065934066
"['open_pc', 'three_stars']",33.33333333333333
"['open_pc', 'three_whitesoldiers']",0.0
"['open_pc', 'abandoned_baby']",38.46153846153847
"['open_pc', 'advance_block']",33.33333333333333
"['open_pc', 'belthold']",31.5018315018315
"['open_pc', 'breakaway']",28.57142857142857
"['open_pc', 'closing_marubozu']",35.53113553113553
"['open_pc', 'conceal_baby']",33.33333333333333
"['open_pc', 'counterattack']",38.095238095238095
"['open_pc', 'dark_cloud_cover']",38.46153846153847
"['open_pc', 'doji']",28.93772893772894
"['open_pc', 'doji_star']",33.6996336996337
"['open_pc', 'dragonfly_doji']",36.26373626373626
"['open_pc', 'engulfing']",32.6007326007326
"['open_pc', 'evening_doji_star']",0.0
"['open_pc', 'evening_star']",0.0
"['open_pc', 'gap_side_by_side']",0.0
"['open_pc', 'gravestone_doji']",28.205128205128204
"['open_pc', 'hammer']",25.64102564102564
"['open_pc', 'hanging_man']",0.0
"['open_pc', 'harami']",32.6007326007326
"['open_pc', 'harami_cross']",32.234432234432234
"['open_pc', 'high_wave']",37.72893772893773
"['open_pc', 'hikkake']",0.0
"['open_pc', 'homing_pigeon']",0.0
"['open_pc', 'identical_three_crows']",0.0
"['open_pc', 'in_neck']",28.205128205128204
