Features,Seed,Accuracy,Profit,Label Order
"['open_pc', 'high_pc', 'low_pc']",0,22.080679405520172,277.078537568359,"['Choppy', 'Bull', 'Bear']"
"['open_pc', 'high_pc', 'low_pc']",1,22.080679405520172,277.078537568359,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc', 'low_pc']",2,21.86836518046709,277.078537568359,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'low_pc']",3,22.080679405520172,277.078537568359,"['Choppy', 'Bear', 'Bull']"
"['open_pc', 'high_pc', 'low_pc']",4,22.080679405520172,277.078537568359,"['Bear', 'Choppy', 'Bull']"
"['open_pc', 'high_pc', 'low_pc']",5,22.080679405520172,277.078537568359,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'low_pc']",6,22.080679405520172,277.078537568359,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc', 'low_pc']",7,22.080679405520172,277.078537568359,"['Choppy', 'Bear', 'Bull']"
"['open_pc', 'high_pc', 'low_pc']",8,22.080679405520172,277.078537568359,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc', 'low_pc']",9,22.080679405520172,277.078537568359,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc', 'close_pc']",0,23.7791932059448,371.9816403204313,"['Choppy', 'Bear', 'Bull']"
"['open_pc', 'high_pc', 'close_pc']",1,23.7791932059448,371.9816403204313,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'close_pc']",2,23.7791932059448,371.9816403204313,"['Bear', 'Choppy', 'Bull']"
"['open_pc', 'high_pc', 'close_pc']",3,23.7791932059448,371.9816403204313,"['Choppy', 'Bull', 'Bear']"
"['open_pc', 'high_pc', 'close_pc']",4,23.7791932059448,371.9816403204313,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc', 'close_pc']",5,23.7791932059448,371.9816403204313,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc', 'close_pc']",6,23.7791932059448,371.9816403204313,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'close_pc']",7,23.991507430997878,371.9816403204313,"['Choppy', 'Bull', 'Bear']"
"['open_pc', 'high_pc', 'close_pc']",8,23.7791932059448,371.9816403204313,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'close_pc']",9,23.7791932059448,371.9816403204313,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'volume_pc']",0,22.505307855626327,4868.045071868186,"['Choppy', 'Bull', 'Bear']"
"['open_pc', 'high_pc', 'volume_pc']",1,26.326963906581742,-1172.7014782783917,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc', 'volume_pc']",2,26.326963906581742,-1172.7014782783917,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc', 'volume_pc']",3,26.326963906581742,-1172.7014782783917,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'volume_pc']",4,37.79193205944799,944.569426394446,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'volume_pc']",5,37.79193205944799,944.569426394446,"['Choppy', 'Bull', 'Bear']"
"['open_pc', 'high_pc', 'volume_pc']",6,37.57961783439491,1177.5563288382764,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc', 'volume_pc']",7,37.367303609341825,1006.038916114594,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc', 'volume_pc']",8,37.57961783439491,821.8023055753329,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'volume_pc']",9,37.79193205944799,944.569426394446,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc', 'vwap_pc']",0,24.416135881104033,-935.4596247258833,"['Choppy', 'Bull', 'Bear']"
"['open_pc', 'high_pc', 'vwap_pc']",1,24.416135881104033,-935.4596247258833,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc', 'vwap_pc']",2,24.416135881104033,-935.4596247258833,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc', 'vwap_pc']",3,24.416135881104033,-935.4596247258833,"['Choppy', 'Bear', 'Bull']"
"['open_pc', 'high_pc', 'vwap_pc']",4,24.416135881104033,-935.4596247258833,"['Bear', 'Choppy', 'Bull']"
"['open_pc', 'high_pc', 'vwap_pc']",5,24.416135881104033,-935.4596247258833,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'vwap_pc']",6,24.416135881104033,-935.4596247258833,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc', 'vwap_pc']",7,24.416135881104033,-935.4596247258833,"['Choppy', 'Bear', 'Bull']"
"['open_pc', 'high_pc', 'vwap_pc']",8,24.416135881104033,-935.4596247258833,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc', 'vwap_pc']",9,24.203821656050955,-935.4596247258833,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc', 'trade_count_pc']",0,42.675159235668794,3482.8280881396677,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc', 'trade_count_pc']",1,26.751592356687897,-512.633363815059,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc', 'trade_count_pc']",2,26.751592356687897,-512.633363815059,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc', 'trade_count_pc']",3,26.751592356687897,-512.633363815059,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'trade_count_pc']",4,21.019108280254777,1348.6703920412074,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc', 'trade_count_pc']",5,21.019108280254777,1348.6703920412074,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc', 'trade_count_pc']",6,21.019108280254777,1348.6703920412074,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'trade_count_pc']",7,37.57961783439491,1582.6739206819184,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc', 'trade_count_pc']",8,21.019108280254777,1348.6703920412074,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc', 'trade_count_pc']",9,21.019108280254777,1348.6703920412074,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'fracocp']",0,25.265392781316347,-133.93073041109528,"['Choppy', 'Bear', 'Bull']"
"['open_pc', 'high_pc', 'fracocp']",1,25.265392781316347,-133.93073041109528,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'fracocp']",2,25.265392781316347,-133.93073041109528,"['Bear', 'Choppy', 'Bull']"
"['open_pc', 'high_pc', 'fracocp']",3,25.265392781316347,-133.93073041109528,"['Choppy', 'Bull', 'Bear']"
"['open_pc', 'high_pc', 'fracocp']",4,25.265392781316347,-133.93073041109528,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc', 'fracocp']",5,25.265392781316347,-133.93073041109528,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc', 'fracocp']",6,25.265392781316347,-133.93073041109528,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'fracocp']",7,25.265392781316347,-133.93073041109528,"['Choppy', 'Bull', 'Bear']"
"['open_pc', 'high_pc', 'fracocp']",8,25.265392781316347,-133.93073041109528,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'fracocp']",9,25.265392781316347,-133.93073041109528,"['Bull', 'Bear', 'Choppy']"
