Features,Seed,Accuracy,Profit
"['frachp', 'stalled_pattern']",0,13.738019169329075,8795.208771717833
"['frachp', 'stalled_pattern']",1,13.738019169329075,8795.208771717833
"['frachp', 'stalled_pattern']",2,13.738019169329075,8795.208771717833
"['frachp', 'stalled_pattern']",3,13.738019169329075,8795.208771717833
"['frachp', 'stalled_pattern']",4,13.738019169329075,8795.208771717833
"['frachp', 'stalled_pattern']",6,13.738019169329075,8795.208771717833
"['frachp', 'stalled_pattern']",7,13.738019169329075,8795.208771717833
"['frachp', 'stalled_pattern']",8,13.738019169329075,8795.208771717833
"['frachp', 'stalled_pattern']",9,13.738019169329075,8795.208771717833
"['open_pc', 'frachp', 'stalled_pattern']",0,13.738019169329075,8795.208771717833
"['open_pc', 'frachp', 'stalled_pattern']",1,13.738019169329075,8795.208771717833
"['open_pc', 'frachp', 'stalled_pattern']",2,13.738019169329075,8795.208771717833
"['open_pc', 'frachp', 'stalled_pattern']",3,13.738019169329075,8795.208771717833
"['open_pc', 'frachp', 'stalled_pattern']",4,13.738019169329075,8795.208771717833
"['open_pc', 'frachp', 'stalled_pattern']",6,13.738019169329075,8795.208771717833
"['open_pc', 'frachp', 'stalled_pattern']",7,14.057507987220447,8795.208771717833
"['open_pc', 'frachp', 'stalled_pattern']",8,13.738019169329075,8795.208771717833
"['open_pc', 'frachp', 'stalled_pattern']",9,13.738019169329075,8795.208771717833
"['tr', 'long_line']",3,23.642172523961662,7752.282281353222
"['tr', 'long_line']",5,23.642172523961662,7752.282281353222
"['tr', 'long_line']",6,23.642172523961662,7752.282281353222
"['tr', 'long_line']",7,23.642172523961662,7752.282281353222
"['tr', 'long_line']",9,23.642172523961662,7752.282281353222
"['open_pc', 'tr', 'long_line']",1,23.961661341853034,7539.290650864157
"['open_pc', 'tr', 'long_line']",8,23.961661341853034,7539.290650864157
"['trade_count_pc', 'long_line']",2,20.766773162939298,7055.500691222467
"['trade_count_pc', 'long_line']",7,20.447284345047922,6693.683985143776
"['frachp', 'shooting_star']",0,13.738019169329075,6688.65225389212
"['frachp', 'shooting_star']",1,13.738019169329075,6688.65225389212
"['frachp', 'shooting_star']",2,13.738019169329075,6688.65225389212
"['frachp', 'shooting_star']",3,13.738019169329075,6688.65225389212
"['frachp', 'shooting_star']",4,13.738019169329075,6688.65225389212
"['frachp', 'shooting_star']",6,13.738019169329075,6688.65225389212
"['frachp', 'shooting_star']",7,13.738019169329075,6688.65225389212
"['frachp', 'shooting_star']",8,13.738019169329075,6688.65225389212
"['frachp', 'shooting_star']",9,13.738019169329075,6688.65225389212
"['open_pc', 'frachp', 'shooting_star']",0,14.057507987220447,6688.65225389212
"['open_pc', 'frachp', 'shooting_star']",1,14.057507987220447,6688.65225389212
"['open_pc', 'frachp', 'shooting_star']",2,14.057507987220447,6688.65225389212
"['open_pc', 'frachp', 'shooting_star']",3,14.057507987220447,6688.65225389212
"['open_pc', 'frachp', 'shooting_star']",4,14.057507987220447,6688.65225389212
"['open_pc', 'frachp', 'shooting_star']",6,13.738019169329075,6688.65225389212
"['open_pc', 'frachp', 'shooting_star']",7,14.057507987220447,6688.65225389212
"['open_pc', 'frachp', 'shooting_star']",8,14.057507987220447,6688.65225389212
"['open_pc', 'frachp', 'shooting_star']",9,14.057507987220447,6688.65225389212
"['fracocp', 'dark_cloud_cover']",6,13.738019169329075,6642.285
"['frachp', 'dark_cloud_cover']",0,14.057507987220447,6642.285
"['frachp', 'dark_cloud_cover']",1,14.057507987220447,6642.285
"['frachp', 'dark_cloud_cover']",2,14.057507987220447,6642.285
"['frachp', 'dark_cloud_cover']",3,14.057507987220447,6642.285
"['frachp', 'dark_cloud_cover']",4,14.057507987220447,6642.285
"['frachp', 'dark_cloud_cover']",6,14.057507987220447,6642.285
"['frachp', 'dark_cloud_cover']",7,14.057507987220447,6642.285
"['frachp', 'dark_cloud_cover']",8,14.057507987220447,6642.285
"['frachp', 'dark_cloud_cover']",9,14.057507987220447,6642.285
"['dark_cloud_cover', 'gravestone_doji']",5,13.738019169329075,6642.285
"['dark_cloud_cover', 'gravestone_doji']",6,13.738019169329075,6642.285
"['dark_cloud_cover', 'gravestone_doji']",7,13.738019169329075,6642.285
"['dark_cloud_cover', 'gravestone_doji']",9,13.738019169329075,6642.285
"['dark_cloud_cover', 'obv']",0,13.738019169329075,6642.285
"['dark_cloud_cover', 'obv']",2,13.738019169329075,6642.285
"['dark_cloud_cover', 'obv']",3,13.738019169329075,6642.285
"['dark_cloud_cover', 'obv']",6,13.738019169329075,6642.285
"['dark_cloud_cover', 'obv']",7,13.738019169329075,6642.285
"['dark_cloud_cover', 'obv']",9,13.738019169329075,6642.285
"['open_pc', 'frachp', 'dark_cloud_cover']",0,14.376996805111823,6642.285
"['open_pc', 'frachp', 'dark_cloud_cover']",1,14.376996805111823,6642.285
"['open_pc', 'frachp', 'dark_cloud_cover']",2,14.057507987220447,6642.285
"['open_pc', 'frachp', 'dark_cloud_cover']",3,14.376996805111823,6642.285
"['open_pc', 'frachp', 'dark_cloud_cover']",6,14.057507987220447,6642.285
"['open_pc', 'frachp', 'dark_cloud_cover']",7,14.376996805111823,6642.285
"['open_pc', 'frachp', 'dark_cloud_cover']",8,14.376996805111823,6642.285
"['open_pc', 'frachp', 'dark_cloud_cover']",9,14.376996805111823,6642.285
"['open_pc', 'dark_cloud_cover', 'gravestone_doji']",5,13.738019169329075,6642.285
"['open_pc', 'dark_cloud_cover', 'obv']",3,13.738019169329075,6642.285
"['open_pc', 'tr', 'long_line']",7,23.322683706070286,6504.010559757473
"['ema_a', 'high_wave']",3,17.252396166134183,6387.766444703706
"['ema_a', 'high_wave']",4,17.252396166134183,6387.766444703706
"['ema_a', 'high_wave']",5,17.252396166134183,6387.766444703706
"['ema_a', 'high_wave']",6,17.252396166134183,6387.766444703706
"['ema_a', 'high_wave']",7,17.252396166134183,6387.766444703706
"['frachp', 'separating_lines']",0,14.057507987220447,6345.252178737541
"['frachp', 'separating_lines']",1,14.057507987220447,6345.252178737541
"['frachp', 'separating_lines']",2,14.057507987220447,6345.252178737541
"['frachp', 'separating_lines']",5,14.057507987220447,6345.252178737541
