Features,Accuracy
"['open_pc', 'natr']",44.93968513596401
"['open_pc', 'hanging_man']",24.902882846043752
"['open_pc', 'harami']",24.4939685135964
"['open_pc', 'harami_cross']",46.14598241668371
"['open_pc', 'high_wave']",44.714782253117974
"['open_pc', 'hikkake']",25.107340012267432
"['open_pc', 'homing_pigeon']",24.534859946841138
"['open_pc', 'identical_three_crows']",46.75935391535474
"['open_pc', 'in_neck']",47.16826824780209
"['open_pc', 'inverted_hammer']",46.473113882641584
"['open_pc', 'kicking']",0.0
"['open_pc', 'kicking_by_length']",0.0
"['open_pc', 'ladder_bottom']",24.4939685135964
"['open_pc', 'long_leader']",31.833980781026376
"['open_pc', 'long_line']",44.244530770803514
"['open_pc', 'marubozu']",24.4939685135964
['open_pc'],43.44714782253118
['high_pc'],45.08280515232059
['low_pc'],31.956655080760584
['close_pc'],50.378245757513795
['volume_pc'],27.17235739112656
['vwap_pc'],29.50316908607647
['fracocp'],28.255980372112045
['frachp'],30.750357800040888
['fraclp'],33.40830096094869
['sma_1'],41.852381925986506
['sma_2'],37.76323860151298
['sma_3'],35.94356982212227
['sma_4'],36.14802698834595
['ema_1'],45.59394806787978
['ema_2'],40.339398895931296
['ema_3'],38.43794725005111
['ema_4'],28.583111838069925
['atr'],47.3522796974034
['natr'],47.3522796974034
['rsi'],37.94725005111429
['slow_k'],34.83950112451441
['slow_d'],34.716826824780206
['three_black_crows'],0.0
['three_inside'],46.82069106522184
['three_lines'],46.922919648333675
['three_outside'],46.0846452668166
['three_stars'],0.0
['three_whitesoldiers'],0.0
['abandoned_baby'],0.0
['advance_block'],0.0
['belthold'],44.96013085258638
['breakaway'],0.0
['closing_marubozu'],45.69617665099162
['conceal_baby'],0.0
['counterattack'],0.0
['dark_cloud_cover'],0.0
['doji'],0.0
['doji_star'],46.61623389899816
['dragonfly_doji'],0.0
['engulfing'],23.757922715191167
['evening_doji_star'],0.0
['evening_star'],0.0
['gap_side_by_side'],24.453077080351665
['gravestone_doji'],0.0
['hammer'],0.0
['hanging_man'],0.0
['harami'],25.598037211204254
['harami_cross'],46.14598241668371
['high_wave'],44.714782253117974
['hikkake'],26.967900224902884
['homing_pigeon'],0.0
['identical_three_crows'],0.0
['in_neck'],0.0
['inverted_hammer'],0.0
['kicking'],0.0
['kicking_by_length'],0.0
['ladder_bottom'],0.0
['long_leader'],0.0
['long_line'],44.244530770803514
['marubozu'],46.16642813330607
['matching_low'],0.0
['mat_hold'],0.0
['morning_doji_star'],0.0
['morning_star'],0.0
['on_neck'],0.0
['piercing'],0.0
['rickshaw_man'],28.624003271314656
['rise_fall_three_methods'],46.88202821508894
['separating_lines'],46.86158249846657
['shooting_star'],0.0
['short_line'],34.32835820895522
['spinning_top'],42.56798200776937
['stalled_pattern'],0.0
['stick_sandwich'],0.0
['takuri'],0.0
['tasuki_gap'],46.86158249846657
['thrusting'],0.0
['tristar'],46.80024534859947
['unique_3_river'],0.0
['upside_gap_2_crows'],0.0
['side_gap_3_methods'],46.80024534859947
['ad'],40.298507462686565
['adosc'],38.56062154978532
['obv'],30.689020650173788
['adx'],36.06624412185647
['ht_trendline'],38.72418728276426
['kama'],40.68697607851155
['mama'],28.889797587405436
['fama'],42.11817624207728
['sar'],36.78184420363934
['volatility'],32.93804947863423
"['open_pc', 'high_pc']",45.2668166019219
"['open_pc', 'low_pc']",33.42874667757105
"['open_pc', 'close_pc']",28.52177468820282
"['open_pc', 'volume_pc']",32.14066653036189
"['open_pc', 'vwap_pc']",47.20915968104682
"['open_pc', 'fracocp']",38.39705581680638
"['open_pc', 'frachp']",33.16295236148027
"['open_pc', 'fraclp']",35.268861173584135
"['open_pc', 'sma_1']",42.83377632386015
"['open_pc', 'sma_2']",35.53465548967492
"['open_pc', 'sma_3']",33.42874667757105
"['open_pc', 'sma_4']",32.3860151298303
"['open_pc', 'ema_1']",42.036393375587814
"['open_pc', 'ema_2']",42.34307912492333
"['open_pc', 'ema_3']",36.434267021059085
"['open_pc', 'ema_4']",36.16847270496831
"['open_pc', 'atr']",44.755673686362705
"['open_pc', 'rsi']",38.49928439991822
"['open_pc', 'slow_k']",35.350644040073604
"['open_pc', 'slow_d']",34.185238192598646
"['open_pc', 'three_black_crows']",28.52177468820282
"['open_pc', 'three_inside']",46.82069106522184
