Features,Seed,Accuracy,Profit
['open_pc'],0,22.344322344322347,56.70428593222823
['open_pc'],1,22.344322344322347,56.70428593222823
['open_pc'],2,22.344322344322347,56.70428593222823
['open_pc'],3,27.106227106227106,2245.790821659073
['open_pc'],4,22.344322344322347,56.70428593222823
['open_pc'],5,22.344322344322347,56.70428593222823
['open_pc'],6,22.344322344322347,56.70428593222823
['open_pc'],7,22.344322344322347,56.70428593222823
['open_pc'],8,29.304029304029307,501.5528594920761
['open_pc'],9,22.344322344322347,56.70428593222823
['high_pc'],0,18.681318681318682,1346.0199999999968
['high_pc'],1,23.44322344322344,2595.947726114762
['high_pc'],2,25.274725274725274,569.3288328794006
['high_pc'],3,18.681318681318682,1346.0199999999968
['high_pc'],4,19.78021978021978,1761.4525646708025
['high_pc'],5,23.44322344322344,2595.947726114762
['high_pc'],6,19.78021978021978,1761.4525646708025
['high_pc'],7,19.047619047619047,1701.43936438534
['high_pc'],8,19.78021978021978,1761.4525646708025
['high_pc'],9,18.681318681318682,1346.0199999999968
['low_pc'],0,24.90842490842491,2050.707010200651
['low_pc'],1,24.90842490842491,2050.707010200651
['low_pc'],2,24.90842490842491,2050.707010200651
['low_pc'],3,24.90842490842491,2050.707010200651
['low_pc'],4,24.90842490842491,2050.707010200651
['low_pc'],5,24.90842490842491,2050.707010200651
['low_pc'],6,24.90842490842491,2050.707010200651
['low_pc'],7,32.967032967032964,3059.469023715479
['low_pc'],8,24.90842490842491,2050.707010200651
['low_pc'],9,24.90842490842491,2050.707010200651
['close_pc'],0,23.076923076923077,3130.5
['close_pc'],1,23.076923076923077,3130.5
['close_pc'],2,23.076923076923077,3130.5
['close_pc'],3,23.076923076923077,3130.5
['close_pc'],4,23.076923076923077,3130.5
['close_pc'],5,22.344322344322347,-5598.211807107298
['close_pc'],6,23.076923076923077,3130.5
['close_pc'],7,23.076923076923077,3130.5
['close_pc'],8,23.076923076923077,3130.5
['close_pc'],9,23.076923076923077,3130.5
['volume_pc'],0,31.868131868131865,141.60598459920948
['volume_pc'],1,32.234432234432234,141.60598459920948
['volume_pc'],2,32.234432234432234,141.60598459920948
['volume_pc'],3,32.234432234432234,141.60598459920948
['volume_pc'],4,32.234432234432234,306.69906156776415
['volume_pc'],5,28.57142857142857,-1365.9503705185998
['volume_pc'],6,32.234432234432234,306.69906156776415
['volume_pc'],7,32.234432234432234,141.60598459920948
['volume_pc'],8,28.57142857142857,-1254.9937650550091
['volume_pc'],9,32.234432234432234,141.60598459920948
['vwap_pc'],0,27.472527472527474,2351.205010094396
['vwap_pc'],1,27.472527472527474,2351.205010094396
['vwap_pc'],2,27.472527472527474,2351.205010094396
['vwap_pc'],3,27.472527472527474,2351.205010094396
['vwap_pc'],4,27.472527472527474,2351.205010094396
['vwap_pc'],5,27.472527472527474,2351.205010094396
['vwap_pc'],6,27.472527472527474,2351.205010094396
['vwap_pc'],7,33.33333333333333,3839.657146787915
['vwap_pc'],8,27.472527472527474,2351.205010094396
['vwap_pc'],9,27.472527472527474,2351.205010094396
['fracocp'],0,23.44322344322344,4065.852500000001
['fracocp'],1,23.44322344322344,4065.852500000001
['fracocp'],2,21.978021978021978,4065.852500000001
['fracocp'],3,22.71062271062271,1520.5557547645658
['fracocp'],4,21.245421245421245,287.34000000000015
['fracocp'],5,23.44322344322344,4065.852500000001
['fracocp'],6,21.245421245421245,287.34000000000015
['fracocp'],7,21.978021978021978,4065.852500000001
['fracocp'],8,22.71062271062271,1520.5557547645658
['fracocp'],9,22.71062271062271,1520.5557547645658
['frachp'],0,42.49084249084249,-5088.5167345015
['frachp'],1,42.49084249084249,-5088.5167345015
['frachp'],2,42.49084249084249,-5088.5167345015
['frachp'],3,42.49084249084249,-5088.5167345015
['frachp'],4,42.124542124542124,-5168.431711881716
['frachp'],5,40.65934065934066,-6717.392268829142
['frachp'],6,42.124542124542124,-5168.431711881716
['frachp'],7,42.49084249084249,-5088.5167345015
['frachp'],8,41.02564102564102,-6717.392268829142
['frachp'],9,42.49084249084249,-5088.5167345015
['fraclp'],0,31.135531135531135,1278.9950037824674
['fraclp'],1,31.135531135531135,1237.732956145992
['fraclp'],2,30.76923076923077,1237.732956145992
['fraclp'],3,31.135531135531135,1237.732956145992
['fraclp'],4,31.135531135531135,1237.732956145992
['fraclp'],5,31.135531135531135,1278.9950037824674
['fraclp'],6,31.135531135531135,1237.732956145992
['fraclp'],7,31.135531135531135,1237.732956145992
['fraclp'],8,31.135531135531135,1278.9950037824674
['fraclp'],9,30.76923076923077,1237.732956145992
['sma_1'],0,39.56043956043956,889.014978640018
['sma_1'],1,32.6007326007326,475.0945683532773
