Features,Seed,Accuracy,Profit,Label Order
"['open_pc', 'high_pc', 'low_pc']",0,24.628450106157114,1514.2183979012225,"['Choppy', 'Bear', 'Bull']"
"['open_pc', 'high_pc', 'low_pc']",1,24.628450106157114,1514.2183979012225,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'low_pc']",2,24.628450106157114,1514.2183979012225,"['Bear', 'Choppy', 'Bull']"
"['open_pc', 'high_pc', 'low_pc']",3,24.628450106157114,1514.2183979012225,"['Choppy', 'Bull', 'Bear']"
"['open_pc', 'high_pc', 'low_pc']",4,24.628450106157114,1514.2183979012225,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc', 'low_pc']",5,24.628450106157114,1514.2183979012225,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc', 'low_pc']",6,24.628450106157114,1514.2183979012225,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'low_pc']",7,24.628450106157114,1514.2183979012225,"['Choppy', 'Bull', 'Bear']"
"['open_pc', 'high_pc', 'low_pc']",8,24.628450106157114,1514.2183979012225,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'low_pc']",9,24.628450106157114,1514.2183979012225,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'close_pc']",0,24.203821656050955,1807.0839153442066,"['Choppy', 'Bear', 'Bull']"
"['open_pc', 'high_pc', 'close_pc']",1,24.203821656050955,1807.0839153442066,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'close_pc']",2,24.203821656050955,1807.0839153442066,"['Bear', 'Choppy', 'Bull']"
"['open_pc', 'high_pc', 'close_pc']",3,24.203821656050955,1807.0839153442066,"['Choppy', 'Bull', 'Bear']"
"['open_pc', 'high_pc', 'close_pc']",4,24.203821656050955,1807.0839153442066,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc', 'close_pc']",5,24.203821656050955,1807.0839153442066,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc', 'close_pc']",6,24.203821656050955,1807.0839153442066,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'close_pc']",7,24.203821656050955,1807.0839153442066,"['Choppy', 'Bull', 'Bear']"
"['open_pc', 'high_pc', 'close_pc']",8,24.203821656050955,1807.0839153442066,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'close_pc']",9,24.203821656050955,1807.0839153442066,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'volume_pc']",0,22.29299363057325,-586.439070352757,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc', 'volume_pc']",1,22.080679405520172,-586.439070352757,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'volume_pc']",2,22.080679405520172,-586.439070352757,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc', 'volume_pc']",3,22.080679405520172,-586.439070352757,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'volume_pc']",4,23.142250530785564,1608.1341218839334,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc', 'volume_pc']",5,40.339702760084926,1673.426729187282,"['Choppy', 'Bear', 'Bull']"
"['open_pc', 'high_pc', 'volume_pc']",6,23.142250530785564,1608.1341218839334,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'volume_pc']",7,23.142250530785564,1608.1341218839334,"['Choppy', 'Bull', 'Bear']"
"['open_pc', 'high_pc', 'volume_pc']",8,23.142250530785564,1608.1341218839334,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc', 'volume_pc']",9,23.142250530785564,1608.1341218839334,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'vwap_pc']",0,25.477707006369428,1100.5548614675208,"['Choppy', 'Bear', 'Bull']"
"['open_pc', 'high_pc', 'vwap_pc']",1,25.477707006369428,1100.5548614675208,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'vwap_pc']",2,25.265392781316347,1100.5548614675208,"['Bear', 'Choppy', 'Bull']"
"['open_pc', 'high_pc', 'vwap_pc']",3,25.477707006369428,1100.5548614675208,"['Choppy', 'Bull', 'Bear']"
"['open_pc', 'high_pc', 'vwap_pc']",4,25.477707006369428,1100.5548614675208,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc', 'vwap_pc']",5,25.265392781316347,1100.5548614675208,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc', 'vwap_pc']",6,25.265392781316347,1100.5548614675208,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'vwap_pc']",7,25.477707006369428,1100.5548614675208,"['Choppy', 'Bull', 'Bear']"
"['open_pc', 'high_pc', 'vwap_pc']",8,25.477707006369428,1100.5548614675208,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'vwap_pc']",9,25.477707006369428,1100.5548614675208,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc', 'trade_count_pc']",0,22.29299363057325,-770.7124058521331,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc', 'trade_count_pc']",1,22.29299363057325,-770.7124058521331,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc', 'trade_count_pc']",2,22.29299363057325,-770.7124058521331,"['Bear', 'Bull', 'Choppy']"
