Features,Seed,Accuracy,Profit,Label Order
"['open_pc', 'high_pc']",0,34.185303514377,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc']",1,37.38019169329074,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc']",2,25.878594249201274,279.18177737881706,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc']",3,38.977635782747605,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc']",4,33.86581469648562,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc']",5,25.878594249201274,279.18177737881706,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc']",6,34.504792332268366,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc']",7,26.198083067092654,279.18177737881706,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc']",8,33.86581469648562,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'high_pc']",9,35.14376996805112,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'low_pc']",0,33.54632587859425,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'low_pc']",1,33.22683706070288,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'low_pc']",2,26.517571884984026,1116.3329069395586,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'low_pc']",3,35.14376996805112,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'low_pc']",4,33.22683706070288,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'low_pc']",5,30.35143769968051,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'low_pc']",6,33.22683706070288,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'low_pc']",7,26.517571884984026,1116.3329069395586,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'low_pc']",8,33.54632587859425,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'low_pc']",9,33.54632587859425,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'close_pc']",0,35.14376996805112,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'close_pc']",1,33.22683706070288,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'close_pc']",2,27.79552715654952,1116.3329069395586,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'close_pc']",3,38.33865814696485,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'close_pc']",4,34.185303514377,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'close_pc']",5,19.169329073482427,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'close_pc']",6,31.948881789137378,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'close_pc']",7,28.115015974440894,1116.3329069395586,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'close_pc']",8,34.185303514377,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'close_pc']",9,34.185303514377,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'volume_pc']",0,34.185303514377,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'volume_pc']",1,19.808306709265175,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'volume_pc']",2,35.46325878594249,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'volume_pc']",3,40.57507987220447,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'volume_pc']",4,21.405750798722046,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'volume_pc']",5,19.488817891373802,226.32514044943855,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'volume_pc']",6,39.61661341853035,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'volume_pc']",7,21.405750798722046,3699.9463395937146,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'volume_pc']",8,21.405750798722046,3699.9463395937146,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'volume_pc']",9,22.683706070287542,3699.9463395937146,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'vwap_pc']",0,35.14376996805112,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'vwap_pc']",1,35.14376996805112,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'vwap_pc']",2,24.600638977635782,1116.3329069395586,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'vwap_pc']",3,35.14376996805112,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'vwap_pc']",4,35.14376996805112,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'vwap_pc']",5,26.517571884984026,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'vwap_pc']",6,35.14376996805112,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'vwap_pc']",7,24.600638977635782,1116.3329069395586,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'vwap_pc']",8,35.14376996805112,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'vwap_pc']",9,35.14376996805112,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'trade_count_pc']",0,34.185303514377,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'trade_count_pc']",1,19.808306709265175,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'trade_count_pc']",2,34.185303514377,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'trade_count_pc']",3,19.808306709265175,639.2758780036984,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'trade_count_pc']",4,19.488817891373802,3699.9463395937146,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'trade_count_pc']",5,20.447284345047922,226.32514044943855,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'trade_count_pc']",6,19.169329073482427,3699.9463395937146,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'trade_count_pc']",7,21.405750798722046,3699.9463395937146,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'trade_count_pc']",8,19.488817891373802,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'trade_count_pc']",9,20.447284345047922,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'fracocp']",0,23.003194888178914,3699.9463395937146,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'fracocp']",1,31.629392971246006,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'fracocp']",2,32.26837060702875,97.17971283001316,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'fracocp']",3,34.82428115015975,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'fracocp']",4,23.322683706070286,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'fracocp']",5,34.82428115015975,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'fracocp']",6,31.309904153354633,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'fracocp']",7,23.003194888178914,3699.9463395937146,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'fracocp']",8,23.322683706070286,3699.9463395937146,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'fracocp']",9,23.322683706070286,3699.9463395937146,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'frachp']",0,29.712460063897762,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'frachp']",1,27.47603833865815,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'frachp']",2,29.712460063897762,97.17971283001316,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'frachp']",3,39.61661341853035,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'frachp']",4,24.281150159744406,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'frachp']",5,27.47603833865815,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'frachp']",6,36.74121405750799,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'frachp']",7,24.600638977635782,3699.9463395937146,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'frachp']",8,24.281150159744406,3699.9463395937146,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'frachp']",9,24.600638977635782,3699.9463395937146,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'fraclp']",0,32.587859424920126,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'fraclp']",1,29.073482428115017,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'fraclp']",2,26.517571884984026,97.17971283001316,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'fraclp']",3,38.33865814696485,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'fraclp']",4,29.712460063897762,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'fraclp']",5,30.35143769968051,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'fraclp']",6,38.977635782747605,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'fraclp']",7,26.837060702875398,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'fraclp']",8,29.712460063897762,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'fraclp']",9,30.031948881789138,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_a']",0,31.309904153354633,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_a']",1,31.309904153354633,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_a']",2,30.670926517571885,279.18177737881706,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'sma_a']",3,37.69968051118211,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'sma_a']",4,30.990415335463258,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'sma_a']",5,31.309904153354633,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'sma_a']",6,30.35143769968051,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_a']",7,30.670926517571885,279.18177737881706,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'sma_a']",8,30.990415335463258,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_a']",9,32.26837060702875,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'sma_b']",0,32.587859424920126,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_b']",1,29.712460063897762,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_b']",2,32.587859424920126,1546.8594251463091,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'sma_b']",3,36.42172523961661,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'sma_b']",4,29.712460063897762,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'sma_b']",5,29.712460063897762,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'sma_b']",6,32.587859424920126,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_b']",7,32.587859424920126,1546.8594251463091,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'sma_b']",8,32.587859424920126,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_b']",9,32.587859424920126,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_c']",0,33.22683706070288,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_c']",1,30.670926517571885,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_c']",2,31.948881789137378,3699.9463395937146,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'sma_c']",3,35.46325878594249,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_c']",4,30.670926517571885,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'sma_c']",5,30.670926517571885,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'sma_c']",6,31.948881789137378,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_c']",7,31.948881789137378,3699.9463395937146,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'sma_c']",8,31.629392971246006,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_c']",9,31.629392971246006,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_d']",0,34.185303514377,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_d']",1,32.9073482428115,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_d']",2,36.102236421725244,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'sma_d']",3,45.68690095846645,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_d']",4,32.9073482428115,4777.263361236317,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'sma_d']",5,32.9073482428115,4777.263361236317,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'sma_d']",6,34.185303514377,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_d']",7,32.9073482428115,4777.263361236317,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'sma_d']",8,32.9073482428115,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'sma_d']",9,32.9073482428115,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_a']",0,31.629392971246006,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_a']",1,31.629392971246006,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_a']",2,26.517571884984026,639.2758780036984,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_a']",3,36.74121405750799,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_a']",4,31.309904153354633,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_a']",5,29.712460063897762,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_a']",6,31.629392971246006,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_a']",7,26.517571884984026,639.2758780036984,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'ema_a']",8,31.309904153354633,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_a']",9,30.990415335463258,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_b']",0,30.35143769968051,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_b']",1,30.35143769968051,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_b']",2,32.26837060702875,1116.3329069395586,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_b']",3,34.504792332268366,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_b']",4,30.35143769968051,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_b']",5,30.35143769968051,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_b']",6,30.35143769968051,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_b']",7,32.26837060702875,1116.3329069395586,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'ema_b']",8,30.35143769968051,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_b']",9,32.26837060702875,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_c']",0,30.031948881789138,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_c']",1,30.031948881789138,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_c']",2,30.670926517571885,1116.3329069395586,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_c']",3,36.42172523961661,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_c']",4,30.031948881789138,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_c']",5,30.031948881789138,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_c']",6,30.031948881789138,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_c']",7,30.670926517571885,1116.3329069395586,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'ema_c']",8,30.670926517571885,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_c']",9,30.670926517571885,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_d']",0,29.712460063897762,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_d']",1,43.76996805111821,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_d']",2,36.42172523961661,75.0,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_d']",3,39.29712460063898,0.0,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'ema_d']",4,32.587859424920126,1722.9845318925145,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_d']",5,32.587859424920126,1722.9845318925145,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'ema_d']",6,18.849840255591054,0.0,"['Bear', 'Bull', 'Choppy']"
