Features,Seed,Accuracy,Profit
"['short_line', 'spinning_top']",8,16.293929712460063,37040.49656173301
"['hanging_man', 'short_line']",8,15.974440894568689,30840.154673478915
"['open_pc', 'hanging_man', 'short_line']",3,15.974440894568689,30840.154673478915
"['fraclp', 'short_line']",3,14.696485623003195,30212.020064844975
"['doji_star', 'mama']",1,14.376996805111823,29018.897199917024
"['doji_star', 'fama']",1,14.057507987220447,29018.897199917024
"['doji_star', 'fama']",6,14.057507987220447,29018.897199917024
"['open_pc', 'ema_d', 'volatility']",0,30.031948881789138,28601.204458302855
"['open_pc', 'ema_d', 'volatility']",1,30.031948881789138,28601.204458302855
"['open_pc', 'ema_d', 'volatility']",3,30.031948881789138,28601.204458302855
"['open_pc', 'ema_d', 'volatility']",4,30.031948881789138,28601.204458302855
"['evening_star', 'short_line']",1,12.779552715654951,28443.22592594545
"['evening_star', 'short_line']",3,12.779552715654951,28443.22592594545
"['open_pc', 'evening_star', 'short_line']",0,12.779552715654951,28443.22592594545
"['open_pc', 'evening_star', 'short_line']",4,12.779552715654951,28443.22592594545
"['open_pc', 'evening_star', 'short_line']",8,12.779552715654951,28443.22592594545
"['short_line', 'mama']",3,16.293929712460063,28403.792818074355
"['short_line', 'stick_sandwich']",0,15.015974440894569,27421.027544116092
"['short_line', 'stick_sandwich']",1,15.015974440894569,27421.027544116092
"['short_line', 'stick_sandwich']",2,15.015974440894569,27421.027544116092
"['short_line', 'stick_sandwich']",3,15.015974440894569,27421.027544116092
"['short_line', 'stick_sandwich']",6,15.015974440894569,27421.027544116092
"['short_line', 'stick_sandwich']",7,15.015974440894569,27421.027544116092
"['short_line', 'stick_sandwich']",9,15.015974440894569,27421.027544116092
"['three_outside', 'short_line']",9,15.974440894568689,27146.531741800565
"['open_pc', 'harami_cross', 'short_line']",4,15.335463258785943,27125.918382892574
"['evening_star', 'short_line']",8,15.015974440894569,25290.415796669127
"['open_pc', 'evening_star', 'short_line']",3,15.015974440894569,25290.415796669127
"['shooting_star', 'short_line']",8,15.015974440894569,25155.57716391135
"['short_line', 'thrusting']",3,15.015974440894569,24508.80840087759
"['short_line', 'side_gap_3_methods']",7,14.696485623003195,24352.89613633936
"['open_pc', 'short_line']",0,15.015974440894569,24237.488171487
"['open_pc', 'short_line']",1,15.015974440894569,24237.488171487
"['open_pc', 'short_line']",2,15.015974440894569,24237.488171487
"['open_pc', 'short_line']",4,15.015974440894569,24237.488171487
"['open_pc', 'short_line']",5,15.015974440894569,24237.488171487
"['open_pc', 'short_line']",6,15.015974440894569,24237.488171487
"['open_pc', 'short_line']",7,15.015974440894569,24237.488171487
"['open_pc', 'short_line']",8,15.015974440894569,24237.488171487
"['open_pc', 'short_line']",9,15.015974440894569,24237.488171487
"['high_pc', 'short_line']",1,15.015974440894569,24237.488171487
"['high_pc', 'short_line']",2,15.015974440894569,24237.488171487
"['high_pc', 'short_line']",4,15.015974440894569,24237.488171487
"['high_pc', 'short_line']",6,15.015974440894569,24237.488171487
"['high_pc', 'short_line']",8,15.015974440894569,24237.488171487
"['low_pc', 'short_line']",0,15.015974440894569,24237.488171487
"['low_pc', 'short_line']",1,15.015974440894569,24237.488171487
"['low_pc', 'short_line']",2,15.015974440894569,24237.488171487
"['low_pc', 'short_line']",4,15.015974440894569,24237.488171487
"['low_pc', 'short_line']",8,15.015974440894569,24237.488171487
"['low_pc', 'short_line']",9,15.015974440894569,24237.488171487
"['close_pc', 'short_line']",0,15.015974440894569,24237.488171487
"['close_pc', 'short_line']",1,15.015974440894569,24237.488171487
"['close_pc', 'short_line']",2,15.015974440894569,24237.488171487
"['close_pc', 'short_line']",4,15.015974440894569,24237.488171487
"['close_pc', 'short_line']",6,15.015974440894569,24237.488171487
"['close_pc', 'short_line']",7,15.015974440894569,24237.488171487
"['close_pc', 'short_line']",8,15.015974440894569,24237.488171487
"['volume_pc', 'short_line']",1,15.015974440894569,24237.488171487
"['volume_pc', 'short_line']",4,15.015974440894569,24237.488171487
"['volume_pc', 'short_line']",6,15.015974440894569,24237.488171487
"['volume_pc', 'short_line']",8,15.015974440894569,24237.488171487
"['vwap_pc', 'short_line']",0,15.015974440894569,24237.488171487
"['vwap_pc', 'short_line']",1,15.015974440894569,24237.488171487
"['vwap_pc', 'short_line']",2,15.015974440894569,24237.488171487
"['vwap_pc', 'short_line']",4,15.015974440894569,24237.488171487
"['vwap_pc', 'short_line']",8,15.015974440894569,24237.488171487
"['trade_count_pc', 'short_line']",1,15.015974440894569,24237.488171487
"['trade_count_pc', 'short_line']",2,15.015974440894569,24237.488171487
"['trade_count_pc', 'short_line']",4,15.015974440894569,24237.488171487
"['trade_count_pc', 'short_line']",6,15.015974440894569,24237.488171487
