Features,Seed,Accuracy
['open_pc'],0,37.013729977116704
['open_pc'],1,37.013729977116704
['open_pc'],2,37.12814645308924
['open_pc'],3,37.12814645308924
['open_pc'],4,37.07093821510298
['open_pc'],5,37.07093821510298
['open_pc'],6,37.18535469107552
['open_pc'],7,37.013729977116704
['open_pc'],8,37.07093821510298
['open_pc'],9,36.670480549199084
['high_pc'],0,28.31807780320366
['high_pc'],1,28.4324942791762
['high_pc'],2,28.4324942791762
['high_pc'],3,28.4324942791762
['high_pc'],4,28.31807780320366
['high_pc'],5,28.31807780320366
['high_pc'],6,28.4324942791762
['high_pc'],7,28.4324942791762
['high_pc'],8,28.4324942791762
['high_pc'],9,28.31807780320366
['low_pc'],0,30.606407322654462
['low_pc'],1,30.606407322654462
['low_pc'],2,30.606407322654462
['low_pc'],3,30.606407322654462
['low_pc'],4,30.606407322654462
['low_pc'],5,30.606407322654462
['low_pc'],6,30.892448512585812
['low_pc'],7,30.606407322654462
['low_pc'],8,30.606407322654462
['low_pc'],9,30.606407322654462
['close_pc'],0,44.794050343249424
['close_pc'],1,44.794050343249424
['close_pc'],2,44.794050343249424
['close_pc'],3,44.794050343249424
['close_pc'],4,44.73684210526316
['close_pc'],5,44.794050343249424
['close_pc'],6,44.679633867276884
['close_pc'],7,44.794050343249424
['close_pc'],8,44.73684210526316
['close_pc'],9,44.73684210526316
['volume_pc'],0,37.47139588100686
['volume_pc'],1,37.47139588100686
['volume_pc'],2,37.47139588100686
['volume_pc'],3,37.47139588100686
['volume_pc'],4,37.47139588100686
['volume_pc'],5,37.47139588100686
['volume_pc'],6,37.47139588100686
['volume_pc'],7,37.47139588100686
['volume_pc'],8,37.47139588100686
['volume_pc'],9,37.47139588100686
['vwap_pc'],0,39.931350114416475
['vwap_pc'],1,39.931350114416475
['vwap_pc'],2,39.87414187643021
['vwap_pc'],3,39.87414187643021
['vwap_pc'],4,41.41876430205949
['vwap_pc'],5,40.389016018306634
['vwap_pc'],6,27.059496567505718
['vwap_pc'],7,39.931350114416475
['vwap_pc'],8,39.87414187643021
['vwap_pc'],9,39.87414187643021
['fracocp'],0,44.39359267734554
['fracocp'],1,44.336384439359264
['fracocp'],2,44.336384439359264
['fracocp'],3,44.336384439359264
['fracocp'],4,44.50800915331808
['fracocp'],5,44.39359267734554
['fracocp'],6,44.50800915331808
['fracocp'],7,44.450800915331804
['fracocp'],8,44.450800915331804
['fracocp'],9,44.336384439359264
['frachp'],0,32.89473684210527
['frachp'],1,32.89473684210527
['frachp'],2,32.89473684210527
['frachp'],3,32.89473684210527
['frachp'],4,32.89473684210527
['frachp'],5,32.89473684210527
['frachp'],6,32.89473684210527
['frachp'],7,32.89473684210527
['frachp'],8,32.89473684210527
['frachp'],9,32.89473684210527
['fraclp'],0,32.89473684210527
['fraclp'],1,32.89473684210527
['fraclp'],2,32.89473684210527
['fraclp'],3,32.89473684210527
['fraclp'],4,32.89473684210527
['fraclp'],5,32.89473684210527
['fraclp'],6,32.89473684210527
['fraclp'],7,32.89473684210527
['fraclp'],8,32.89473684210527
['fraclp'],9,32.89473684210527
['sma_1'],0,39.41647597254004
['sma_1'],1,39.244851258581235
['sma_1'],2,39.244851258581235
['sma_1'],3,39.244851258581235
['sma_1'],4,39.244851258581235
['sma_1'],5,39.41647597254004
['sma_1'],6,39.244851258581235
['sma_1'],7,39.244851258581235
['sma_1'],8,39.41647597254004
['sma_1'],9,39.244851258581235
['sma_2'],0,39.816933638443935
['sma_2'],1,39.87414187643021
['sma_2'],2,39.87414187643021
['sma_2'],3,39.87414187643021
['sma_2'],4,39.87414187643021
['sma_2'],5,39.816933638443935
['sma_2'],6,39.87414187643021
['sma_2'],7,39.87414187643021
['sma_2'],8,39.816933638443935
['sma_2'],9,39.87414187643021
['sma_3'],0,39.016018306636155
['sma_3'],1,38.84439359267734
['sma_3'],2,38.84439359267734
['sma_3'],3,38.84439359267734
['sma_3'],4,38.84439359267734
['sma_3'],5,39.016018306636155
['sma_3'],6,38.84439359267734
['sma_3'],7,38.84439359267734
['sma_3'],8,39.016018306636155
['sma_3'],9,38.84439359267734
['sma_4'],0,36.84210526315789
['sma_4'],1,36.49885583524027
['sma_4'],2,36.49885583524027
['sma_4'],3,36.49885583524027
['sma_4'],4,36.49885583524027
['sma_4'],5,36.84210526315789
['sma_4'],6,36.49885583524027
['sma_4'],7,36.49885583524027
['sma_4'],8,36.84210526315789
['sma_4'],9,36.49885583524027
['ema_1'],0,41.53318077803203
['ema_1'],1,41.47597254004577
['ema_1'],2,41.47597254004577
['ema_1'],3,41.47597254004577
['ema_1'],4,41.47597254004577
['ema_1'],5,41.53318077803203
['ema_1'],6,41.47597254004577
['ema_1'],7,41.47597254004577
['ema_1'],8,41.47597254004577
['ema_1'],9,41.47597254004577
['ema_2'],0,40.56064073226545
['ema_2'],1,40.67505720823799
['ema_2'],2,40.67505720823799
['ema_2'],3,40.67505720823799
['ema_2'],4,40.67505720823799
['ema_2'],5,40.56064073226545
['ema_2'],6,40.67505720823799
['ema_2'],7,40.67505720823799
['ema_2'],8,40.56064073226545
['ema_2'],9,40.67505720823799
['ema_3'],0,40.045766590389015
['ema_3'],1,40.10297482837529
['ema_3'],2,40.045766590389015
['ema_3'],3,40.045766590389015
['ema_3'],4,40.10297482837529
['ema_3'],5,40.045766590389015
['ema_3'],6,40.10297482837529
['ema_3'],7,40.10297482837529
['ema_3'],8,40.045766590389015
['ema_3'],9,40.045766590389015
['ema_4'],0,38.50114416475973
['ema_4'],1,38.558352402745996
['ema_4'],2,38.558352402745996
['ema_4'],3,38.50114416475973
['ema_4'],4,38.558352402745996
['ema_4'],5,38.50114416475973
['ema_4'],6,38.50114416475973
['ema_4'],7,38.558352402745996
['ema_4'],8,38.50114416475973
['ema_4'],9,38.558352402745996
['atr'],0,39.64530892448512
['atr'],1,39.64530892448512
['atr'],2,39.64530892448512
['atr'],3,39.64530892448512
['atr'],4,39.64530892448512
['atr'],5,39.64530892448512
['atr'],6,39.64530892448512
['atr'],7,39.64530892448512
['atr'],8,39.64530892448512
['atr'],9,39.64530892448512
['natr'],0,39.816933638443935
['natr'],1,39.816933638443935
['natr'],2,39.816933638443935
['natr'],3,39.816933638443935
['natr'],4,39.816933638443935
['natr'],5,39.87414187643021
['natr'],6,39.816933638443935
['natr'],7,39.816933638443935
['natr'],8,39.87414187643021
['natr'],9,39.816933638443935
['tr'],0,35.755148741418765
['tr'],1,35.983981693363845
['tr'],2,35.983981693363845
['tr'],3,35.983981693363845
['tr'],4,35.983981693363845
['tr'],5,35.755148741418765
['tr'],6,35.983981693363845
['tr'],7,35.983981693363845
['tr'],8,35.755148741418765
['tr'],9,35.983981693363845
['rsi'],0,38.84439359267734
['rsi'],1,38.558352402745996
['rsi'],2,38.50114416475973
['rsi'],3,38.50114416475973
['rsi'],4,38.50114416475973
['rsi'],5,38.787185354691076
['rsi'],6,38.558352402745996
['rsi'],7,38.558352402745996
['rsi'],8,38.787185354691076
['rsi'],9,38.558352402745996
['slow_k'],0,34.21052631578947
['slow_k'],1,34.32494279176201
['slow_k'],2,34.32494279176201
['slow_k'],3,34.32494279176201
['slow_k'],4,34.32494279176201
['slow_k'],5,34.1533180778032
['slow_k'],6,34.32494279176201
['slow_k'],7,34.32494279176201
['slow_k'],8,34.1533180778032
['slow_k'],9,34.32494279176201
['slow_d'],0,35.183066361556065
['slow_d'],1,35.297482837528605
['slow_d'],2,35.297482837528605
['slow_d'],3,35.297482837528605
['slow_d'],4,35.297482837528605
['slow_d'],5,35.183066361556065
['slow_d'],6,35.297482837528605
['slow_d'],7,35.297482837528605
['slow_d'],8,35.183066361556065
['slow_d'],9,35.297482837528605
['three_black_crows'],0,0.0
['three_black_crows'],1,0.0
['three_black_crows'],2,0.0
['three_black_crows'],3,0.0
['three_black_crows'],4,0.0
['three_black_crows'],5,0.0
['three_black_crows'],6,0.0
['three_black_crows'],7,0.0
