Features,Seed,Accuracy,Profit,Label Order
"['open_pc', 'high_pc']",0,28.753993610223645,2303.020867640922,"['Bear', 'Choppy', 'Bull']"
"['open_pc', 'high_pc']",1,29.073482428115017,1869.119109802623,"['Bear', 'Choppy', 'Bull']"
"['open_pc', 'high_pc']",2,28.434504792332266,2148.6243899007095,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc']",3,29.073482428115017,2428.7322900549016,"['Choppy', 'Bull', 'Bear']"
"['open_pc', 'high_pc']",4,29.073482428115017,2428.7322900549016,"['Choppy', 'Bear', 'Bull']"
"['open_pc', 'high_pc']",5,29.073482428115017,1869.119109802623,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'high_pc']",6,29.073482428115017,2428.7322900549016,"['Bear', 'Choppy', 'Bull']"
"['open_pc', 'high_pc']",7,29.073482428115017,2428.7322900549016,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'high_pc']",8,29.073482428115017,2428.7322900549016,"['Bear', 'Choppy', 'Bull']"
"['open_pc', 'high_pc']",9,29.073482428115017,2428.7322900549016,"['Choppy', 'Bear', 'Bull']"
"['open_pc', 'low_pc']",0,32.9073482428115,3451.518583171338,"['Bear', 'Choppy', 'Bull']"
"['open_pc', 'low_pc']",1,32.9073482428115,3451.518583171338,"['Bear', 'Choppy', 'Bull']"
"['open_pc', 'low_pc']",2,32.9073482428115,3451.518583171338,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'low_pc']",3,31.948881789137378,2602.744738030902,"['Choppy', 'Bull', 'Bear']"
"['open_pc', 'low_pc']",4,31.948881789137378,2602.744738030902,"['Choppy', 'Bear', 'Bull']"
"['open_pc', 'low_pc']",5,32.9073482428115,3451.518583171338,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'low_pc']",6,32.9073482428115,3451.518583171338,"['Bear', 'Choppy', 'Bull']"
"['open_pc', 'low_pc']",7,32.9073482428115,3451.518583171338,"['Bull', 'Choppy', 'Bear']"
"['open_pc', 'low_pc']",8,31.948881789137378,2602.744738030902,"['Bear', 'Choppy', 'Bull']"
"['open_pc', 'low_pc']",9,32.587859424920126,3451.518583171338,"['Choppy', 'Bear', 'Bull']"
"['open_pc', 'close_pc']",0,31.948881789137378,3217.817420162366,"['Bear', 'Bull', 'Choppy']"
"['open_pc', 'close_pc']",1,32.587859424920126,3272.0431290655542,"['Bear', 'Choppy', 'Bull']"
"['open_pc', 'close_pc']",2,36.42172523961661,4902.356319907274,"['Bull', 'Bear', 'Choppy']"
"['open_pc', 'close_pc']",3,36.42172523961661,7430.490399540888,"['Choppy', 'Bull', 'Bear']"
