Features,Seed,Accuracy,Profit
"['close_pc', 'trade_count_pc', 'sma_a']",1,32.9073482428115,15499.287959890506
"['trade_count_pc', 'sma_a']",6,38.65814696485623,14582.935208428931
"['trade_count_pc', 'sma_a']",7,38.65814696485623,14582.935208428931
"['trade_count_pc', 'sma_a']",9,38.977635782747605,14582.935208428931
"['open_pc', 'close_pc', 'volume_pc']",3,38.33865814696485,14490.131226489557
"['close_pc', 'trade_count_pc', 'ema_a']",1,38.33865814696485,12839.700533085766
"['open_pc', 'volume_pc', 'ad']",9,38.33865814696485,12780.765418067715
"['high_pc', 'trade_count_pc', 'ema_a']",1,38.019169329073485,12573.427527685091
"['open_pc', 'frachp', 'natr']",3,36.42172523961661,12328.711192245588
"['trade_count_pc', 'sma_a']",0,35.14376996805112,11866.97402025772
"['trade_count_pc', 'sma_a']",3,35.14376996805112,11866.97402025772
"['trade_count_pc', 'sma_a']",4,35.14376996805112,11866.97402025772
"['trade_count_pc', 'sma_a']",5,35.14376996805112,11866.97402025772
"['trade_count_pc', 'sma_a']",8,35.14376996805112,11866.97402025772
"['close_pc', 'hanging_man', 'matching_low']",4,18.210862619808307,11680.074995130064
"['close_pc', 'frachp', 'macd']",0,45.04792332268371,11427.231701547662
"['close_pc', 'frachp', 'macd']",3,45.04792332268371,11427.231701547662
"['close_pc', 'frachp', 'macd']",4,45.04792332268371,11427.231701547662
"['close_pc', 'frachp', 'macd']",5,45.04792332268371,11427.231701547662
"['close_pc', 'frachp', 'macd']",6,45.04792332268371,11427.231701547662
"['close_pc', 'frachp', 'macd']",7,45.04792332268371,11427.231701547662
"['close_pc', 'frachp', 'macd']",8,45.04792332268371,11427.231701547662
"['high_pc', 'three_inside', 'matching_low']",1,18.53035143769968,11278.899856188056
"['high_pc', 'three_inside', 'matching_low']",4,18.53035143769968,11278.899856188056
"['high_pc', 'three_inside', 'matching_low']",5,18.53035143769968,11278.899856188056
"['low_pc', 'three_inside', 'matching_low']",1,18.53035143769968,11278.899856188056
"['low_pc', 'three_inside', 'matching_low']",4,18.53035143769968,11278.899856188056
"['low_pc', 'three_inside', 'matching_low']",5,18.53035143769968,11278.899856188056
"['close_pc', 'three_inside', 'matching_low']",1,18.53035143769968,11278.899856188056
"['close_pc', 'three_inside', 'matching_low']",4,18.53035143769968,11278.899856188056
"['close_pc', 'three_inside', 'matching_low']",5,18.53035143769968,11278.899856188056
"['open_pc', 'stalled_pattern', 'thrusting']",7,18.849840255591054,11262.375451211446
"['open_pc', 'stalled_pattern', 'thrusting']",8,18.53035143769968,11262.375451211446
"['high_pc', 'trade_count_pc', 'sma_a']",1,33.54632587859425,11198.291387380386
"['open_pc', 'hammer', 'separating_lines']",5,17.57188498402556,10570.286456729627
"['open_pc', 'hammer', 'separating_lines']",6,17.57188498402556,10570.286456729627
"['open_pc', 'hammer', 'separating_lines']",7,17.57188498402556,10570.286456729627
"['high_pc', 'hammer', 'separating_lines']",5,17.57188498402556,10570.286456729627
"['high_pc', 'hammer', 'separating_lines']",6,17.57188498402556,10570.286456729627
"['high_pc', 'hammer', 'separating_lines']",7,17.57188498402556,10570.286456729627
"['low_pc', 'hammer', 'separating_lines']",5,17.57188498402556,10570.286456729627
"['low_pc', 'hammer', 'separating_lines']",6,17.57188498402556,10570.286456729627
"['close_pc', 'hammer', 'separating_lines']",5,17.57188498402556,10570.286456729627
"['close_pc', 'hammer', 'separating_lines']",6,17.57188498402556,10570.286456729627
"['open_pc', 'trade_count_pc', 'sar']",1,28.753993610223645,10293.86614570914
"['open_pc', 'trade_count_pc', 'sar']",2,28.753993610223645,10293.86614570914
"['open_pc', 'trade_count_pc', 'sar']",3,28.753993610223645,10293.86614570914
"['high_pc', 'frachp', 'macd']",1,42.49201277955272,10113.68118949567
"['high_pc', 'frachp', 'macd']",9,42.49201277955272,10113.68118949567
"['open_pc', 'volume_pc', 'ad']",0,29.073482428115017,10000.623220968098
"['open_pc', 'volume_pc', 'ad']",1,29.073482428115017,10000.623220968098
"['open_pc', 'volume_pc', 'ad']",2,29.073482428115017,10000.623220968098
"['open_pc', 'volume_pc', 'ad']",3,29.073482428115017,10000.623220968098
"['open_pc', 'volume_pc', 'ad']",4,29.073482428115017,10000.623220968098
"['open_pc', 'volume_pc', 'ad']",5,29.073482428115017,10000.623220968098
"['open_pc', 'volume_pc', 'ad']",6,29.073482428115017,10000.623220968098
"['open_pc', 'volume_pc', 'ad']",7,29.073482428115017,10000.623220968098
"['open_pc', 'volume_pc', 'matching_low']",2,19.169329073482427,9856.263662937768
"['open_pc', 'volume_pc', 'matching_low']",5,19.169329073482427,9856.263662937768
"['low_pc', 'volume_pc', 'sar']",0,28.115015974440894,9845.721919666295
"['low_pc', 'volume_pc', 'sar']",2,28.115015974440894,9845.721919666295
"['low_pc', 'volume_pc', 'sar']",3,28.115015974440894,9845.721919666295
"['open_pc', 'dragonfly_doji', 'side_gap_3_methods']",1,18.210862619808307,9814.693640972928
"['open_pc', 'dragonfly_doji', 'side_gap_3_methods']",7,18.210862619808307,9814.693640972928
"['open_pc', 'takuri', 'side_gap_3_methods']",1,18.210862619808307,9814.693640972928
"['open_pc', 'takuri', 'side_gap_3_methods']",7,18.210862619808307,9814.693640972928
"['low_pc', 'dragonfly_doji', 'side_gap_3_methods']",2,18.210862619808307,9814.693640972928
"['open_pc', 'trade_count_pc', 'sma_a']",2,36.74121405750799,9786.633756881154
"['open_pc', 'matching_low', 'fama']",1,19.488817891373802,9738.128841668558
"['open_pc', 'matching_low', 'fama']",4,19.488817891373802,9738.128841668558
"['open_pc', 'matching_low', 'fama']",5,19.488817891373802,9738.128841668558
"['open_pc', 'matching_low', 'fama']",6,19.488817891373802,9738.128841668558
"['open_pc', 'matching_low', 'fama']",7,19.488817891373802,9738.128841668558
"['open_pc', 'ladder_bottom', 'stalled_pattern']",1,18.53035143769968,9659.18996831129
"['open_pc', 'ladder_bottom', 'stalled_pattern']",2,18.53035143769968,9659.18996831129
"['open_pc', 'ladder_bottom', 'stalled_pattern']",4,18.53035143769968,9659.18996831129
"['open_pc', 'ladder_bottom', 'stalled_pattern']",5,18.53035143769968,9659.18996831129
"['open_pc', 'ladder_bottom', 'stalled_pattern']",6,18.53035143769968,9659.18996831129
"['close_pc', 'volume_pc', 'sma_a']",1,33.22683706070288,9550.56937212934
"['close_pc', 'slow_k', 'macd']",3,26.198083067092654,9397.12875259174
"['close_pc', 'slow_k', 'macd']",5,26.198083067092654,9397.12875259174
"['close_pc', 'slow_k', 'macd']",6,26.198083067092654,9397.12875259174
"['close_pc', 'slow_k', 'macd']",7,26.198083067092654,9397.12875259174
"['close_pc', 'slow_k', 'macd']",8,26.198083067092654,9397.12875259174
"['open_pc', 'ladder_bottom', 'side_gap_3_methods']",0,18.210862619808307,9355.82480728119
"['open_pc', 'ladder_bottom', 'side_gap_3_methods']",1,18.210862619808307,9355.82480728119
"['open_pc', 'ladder_bottom', 'side_gap_3_methods']",2,18.53035143769968,9355.82480728119
"['open_pc', 'ladder_bottom', 'side_gap_3_methods']",3,18.210862619808307,9355.82480728119
"['open_pc', 'ladder_bottom', 'side_gap_3_methods']",7,18.53035143769968,9355.82480728119
"['open_pc', 'ladder_bottom', 'side_gap_3_methods']",8,18.53035143769968,9355.82480728119
