Features,Seed,Accuracy,Profit%,Label Order
['open_pc'],0,44.27966101694915,25.73964353307703,"['Choppy', 'Bear', 'Bull']"
['open_pc'],1,44.27966101694915,25.73964353307703,"['Bull', 'Bear', 'Choppy']"
['open_pc'],2,44.27966101694915,25.73964353307703,"['Bull', 'Choppy', 'Bear']"
['open_pc'],3,44.27966101694915,25.73964353307703,"['Bull', 'Bear', 'Choppy']"
['open_pc'],4,38.559322033898304,35.52402400999924,"['Choppy', 'Bull', 'Bear']"
['open_pc'],5,44.27966101694915,25.73964353307703,"['Bull', 'Bear', 'Choppy']"
['open_pc'],6,38.771186440677965,35.87570867383431,"['Bear', 'Bull', 'Choppy']"
['open_pc'],7,44.27966101694915,25.73964353307703,"['Choppy', 'Bear', 'Bull']"
['open_pc'],8,27.33050847457627,54.83878484776887,"['Choppy', 'Bear', 'Bull']"
['open_pc'],9,44.27966101694915,25.73964353307703,"['Choppy', 'Bear', 'Bull']"
['high_pc'],0,29.44915254237288,19.613468918297123,"['Bull', 'Bear', 'Choppy']"
['high_pc'],1,27.966101694915253,29.939194800347344,"['Choppy', 'Bear', 'Bull']"
['high_pc'],2,28.177966101694917,26.690244723101976,"['Choppy', 'Bull', 'Bear']"
['high_pc'],3,28.177966101694917,29.939194800347344,"['Choppy', 'Bear', 'Bull']"
['high_pc'],4,22.45762711864407,24.25988271531444,"['Bull', 'Choppy', 'Bear']"
['high_pc'],5,29.44915254237288,19.613468918297123,"['Choppy', 'Bear', 'Bull']"
['high_pc'],6,22.45762711864407,24.25988271531444,"['Bear', 'Choppy', 'Bull']"
['high_pc'],7,28.177966101694917,33.26583231163042,"['Bull', 'Bear', 'Choppy']"
['high_pc'],8,29.44915254237288,19.613468918297123,"['Choppy', 'Bear', 'Bull']"
['high_pc'],9,28.389830508474578,29.939194800347344,"['Bull', 'Bear', 'Choppy']"
['low_pc'],0,28.177966101694917,35.55109976910922,"['Bull', 'Bear', 'Choppy']"
['low_pc'],1,28.177966101694917,35.55109976910922,"['Choppy', 'Bear', 'Bull']"
['low_pc'],2,28.177966101694917,35.55109976910922,"['Choppy', 'Bull', 'Bear']"
['low_pc'],3,28.177966101694917,35.55109976910922,"['Choppy', 'Bear', 'Bull']"
['low_pc'],4,31.56779661016949,39.20692743232461,"['Bull', 'Choppy', 'Bear']"
['low_pc'],5,28.389830508474578,35.55109976910922,"['Choppy', 'Bear', 'Bull']"
['low_pc'],6,31.56779661016949,39.20692743232461,"['Bear', 'Choppy', 'Bull']"
['low_pc'],7,28.177966101694917,35.55109976910922,"['Bull', 'Bear', 'Choppy']"
['low_pc'],8,28.177966101694917,35.55109976910922,"['Choppy', 'Bear', 'Bull']"
['low_pc'],9,28.177966101694917,35.55109976910922,"['Bull', 'Bear', 'Choppy']"
['close_pc'],0,30.720338983050848,40.864625106331246,"['Bull', 'Bear', 'Choppy']"
['close_pc'],1,22.88135593220339,41.369409489484745,"['Choppy', 'Bear', 'Bull']"
