Features,Seed,Accuracy,Profit%,Label Order
['open_pc'],0,41.10169491525424,39.040753702710695,"['Bull', 'Choppy', 'Bear']"
['open_pc'],1,40.88983050847458,39.040753702710695,"['Bear', 'Choppy', 'Bull']"
['open_pc'],2,40.88983050847458,39.040753702710695,"['Bear', 'Bull', 'Choppy']"
['open_pc'],3,40.88983050847458,39.040753702710695,"['Bear', 'Choppy', 'Bull']"
['open_pc'],4,24.364406779661017,51.71085538717763,"['Bull', 'Choppy', 'Bear']"
['open_pc'],5,41.52542372881356,75.00814625826554,"['Bear', 'Choppy', 'Bull']"
['open_pc'],6,44.49152542372881,36.44535534538732,"['Bull', 'Bear', 'Choppy']"
['open_pc'],7,40.88983050847458,39.040753702710695,"['Bull', 'Choppy', 'Bear']"
['open_pc'],8,40.67796610169492,37.32912704036912,"['Bear', 'Choppy', 'Bull']"
['open_pc'],9,40.67796610169492,34.32744381584739,"['Bull', 'Choppy', 'Bear']"
['high_pc'],0,43.64406779661017,89.02982105873485,"['Bear', 'Choppy', 'Bull']"
['high_pc'],1,43.64406779661017,89.02982105873485,"['Bull', 'Choppy', 'Bear']"
['high_pc'],2,43.64406779661017,89.02982105873485,"['Bear', 'Bull', 'Choppy']"
['high_pc'],3,43.64406779661017,89.02982105873485,"['Bull', 'Choppy', 'Bear']"
['high_pc'],4,14.194915254237289,55.66497617478549,"['Bear', 'Choppy', 'Bull']"
['high_pc'],5,43.64406779661017,89.02982105873485,"['Bull', 'Choppy', 'Bear']"
['high_pc'],6,14.40677966101695,69.61192223764061,"['Bull', 'Choppy', 'Bear']"
['high_pc'],7,43.64406779661017,89.02982105873485,"['Bear', 'Choppy', 'Bull']"
['high_pc'],8,43.64406779661017,89.02982105873485,"['Bull', 'Choppy', 'Bear']"
['high_pc'],9,32.41525423728814,54.672758666209845,"['Bear', 'Bull', 'Choppy']"
['low_pc'],0,41.52542372881356,63.307349044035796,"['Bull', 'Choppy', 'Bear']"
['low_pc'],1,41.10169491525424,60.64464342533946,"['Bear', 'Choppy', 'Bull']"
['low_pc'],2,41.10169491525424,73.73866009174148,"['Bear', 'Bull', 'Choppy']"
['low_pc'],3,41.10169491525424,60.64464342533946,"['Bear', 'Choppy', 'Bull']"
['low_pc'],4,38.983050847457626,31.037591652769887,"['Bear', 'Bull', 'Choppy']"
['low_pc'],5,41.52542372881356,63.307349044035796,"['Bear', 'Choppy', 'Bull']"
['low_pc'],6,41.10169491525424,73.73866009174148,"['Choppy', 'Bull', 'Bear']"
['low_pc'],7,41.10169491525424,60.64464342533946,"['Bull', 'Choppy', 'Bear']"
['low_pc'],8,41.313559322033896,60.561449556336754,"['Bear', 'Choppy', 'Bull']"
['low_pc'],9,41.10169491525424,73.73866009174148,"['Bull', 'Choppy', 'Bear']"
['close_pc'],0,33.89830508474576,36.86056995937643,"['Choppy', 'Bull', 'Bear']"
['close_pc'],1,36.440677966101696,39.28478867504192,"['Choppy', 'Bull', 'Bear']"
['close_pc'],2,32.20338983050847,34.37562337617475,"['Bear', 'Choppy', 'Bull']"
['close_pc'],3,31.56779661016949,34.37562337617475,"['Bear', 'Bull', 'Choppy']"
['close_pc'],4,38.771186440677965,38.351323803483226,"['Bear', 'Bull', 'Choppy']"
['close_pc'],5,34.32203389830508,48.96977948035291,"['Bear', 'Bull', 'Choppy']"
['close_pc'],6,26.906779661016948,66.5797544419595,"['Bull', 'Choppy', 'Bear']"
['close_pc'],7,36.652542372881356,39.28478867504192,"['Bear', 'Bull', 'Choppy']"
['close_pc'],8,35.38135593220339,30.20610399714188,"['Choppy', 'Bull', 'Bear']"
['close_pc'],9,31.56779661016949,45.90207511303516,"['Choppy', 'Bull', 'Bear']"
['volume_pc'],0,31.14406779661017,36.835683036918766,"['Bull', 'Bear', 'Choppy']"
['volume_pc'],1,33.686440677966104,34.72167964392763,"['Choppy', 'Bear', 'Bull']"
