Features,Seed,Accuracy,Profit%,Label Order
['open_pc'],0,23.516949152542374,27.703565387711826,"['Choppy', 'Bear', 'Bull']"
['open_pc'],1,23.093220338983052,-21.800444475972323,"['Bull', 'Bear', 'Choppy']"
['open_pc'],2,23.093220338983052,-21.800444475972323,"['Bull', 'Choppy', 'Bear']"
['open_pc'],3,23.093220338983052,-21.800444475972323,"['Bull', 'Bear', 'Choppy']"
['open_pc'],4,22.88135593220339,-29.007725628473295,"['Bull', 'Choppy', 'Bear']"
['open_pc'],5,23.728813559322035,-19.704757475713922,"['Choppy', 'Bear', 'Bull']"
['open_pc'],6,22.66949152542373,-30.241021497324322,"['Bear', 'Choppy', 'Bull']"
['open_pc'],7,23.093220338983052,-21.800444475972323,"['Choppy', 'Bear', 'Bull']"
['open_pc'],8,23.728813559322035,-19.704757475713922,"['Bull', 'Bear', 'Choppy']"
['open_pc'],9,23.093220338983052,-21.800444475972323,"['Choppy', 'Bear', 'Bull']"
['high_pc'],0,42.16101694915254,8.512848297762098,"['Bull', 'Choppy', 'Bear']"
['high_pc'],1,23.093220338983052,4.165955447895723,"['Bull', 'Bear', 'Choppy']"
['high_pc'],2,23.516949152542374,9.463106378881301,"['Bull', 'Choppy', 'Bear']"
['high_pc'],3,23.516949152542374,9.463106378881301,"['Bull', 'Bear', 'Choppy']"
['high_pc'],4,42.16101694915254,8.512848297762098,"['Bear', 'Bull', 'Choppy']"
['high_pc'],5,42.16101694915254,8.512848297762098,"['Bull', 'Choppy', 'Bear']"
['high_pc'],6,21.1864406779661,-2.490529594445883,"['Bull', 'Choppy', 'Bear']"
['high_pc'],7,23.093220338983052,18.911096643335366,"['Choppy', 'Bear', 'Bull']"
['high_pc'],8,42.16101694915254,8.512848297762098,"['Bear', 'Choppy', 'Bull']"
['high_pc'],9,42.16101694915254,8.512848297762098,"['Bull', 'Choppy', 'Bear']"
['low_pc'],0,44.70338983050847,-44.385797070714574,"['Bear', 'Choppy', 'Bull']"
['low_pc'],1,45.55084745762712,-22.67837809998469,"['Bull', 'Choppy', 'Bear']"
['low_pc'],2,23.940677966101696,-48.99877810056516,"['Bear', 'Choppy', 'Bull']"
['low_pc'],3,23.728813559322035,-48.99877810056516,"['Bear', 'Bull', 'Choppy']"
['low_pc'],4,20.76271186440678,41.96013136351716,"['Bear', 'Choppy', 'Bull']"
['low_pc'],5,43.43220338983051,61.938337681079844,"['Bull', 'Choppy', 'Bear']"
['low_pc'],6,22.033898305084744,-24.37568734197892,"['Bull', 'Choppy', 'Bear']"
['low_pc'],7,45.55084745762712,-22.67837809998469,"['Bear', 'Choppy', 'Bull']"
['low_pc'],8,43.43220338983051,61.938337681079844,"['Bear', 'Choppy', 'Bull']"
['low_pc'],9,22.245762711864405,12.981435081129753,"['Choppy', 'Bull', 'Bear']"
['close_pc'],0,35.38135593220339,-17.16176081483935,"['Bull', 'Bear', 'Choppy']"
['close_pc'],1,35.38135593220339,-17.16176081483935,"['Choppy', 'Bear', 'Bull']"
['close_pc'],2,35.38135593220339,-17.16176081483935,"['Choppy', 'Bull', 'Bear']"
['close_pc'],3,35.38135593220339,-17.16176081483935,"['Choppy', 'Bear', 'Bull']"
['close_pc'],4,36.016949152542374,-15.051287992371506,"['Choppy', 'Bull', 'Bear']"
['close_pc'],5,35.38135593220339,-14.197469497458068,"['Choppy', 'Bear', 'Bull']"
['close_pc'],6,35.59322033898305,-13.13763043562749,"['Bear', 'Bull', 'Choppy']"
['close_pc'],7,35.38135593220339,-17.16176081483935,"['Bull', 'Bear', 'Choppy']"
['close_pc'],8,35.38135593220339,-17.16176081483935,"['Choppy', 'Bear', 'Bull']"
['close_pc'],9,34.95762711864407,-20.14974043769791,"['Bull', 'Bear', 'Choppy']"
['volume_pc'],0,29.66101694915254,8.102957905311404,"['Bear', 'Bull', 'Choppy']"
['volume_pc'],1,29.66101694915254,8.102957905311404,"['Choppy', 'Bull', 'Bear']"
['volume_pc'],2,29.66101694915254,8.102957905311404,"['Choppy', 'Bear', 'Bull']"
['volume_pc'],3,29.66101694915254,8.102957905311404,"['Choppy', 'Bull', 'Bear']"
['volume_pc'],4,37.28813559322034,29.47980179928209,"['Bear', 'Choppy', 'Bull']"
['volume_pc'],5,29.66101694915254,8.102957905311404,"['Choppy', 'Bull', 'Bear']"
['volume_pc'],6,37.07627118644068,29.47980179928209,"['Bull', 'Choppy', 'Bear']"
['volume_pc'],7,29.66101694915254,8.102957905311404,"['Bear', 'Bull', 'Choppy']"
['volume_pc'],8,29.66101694915254,8.102957905311404,"['Choppy', 'Bull', 'Bear']"
['volume_pc'],9,29.66101694915254,8.102957905311404,"['Bear', 'Bull', 'Choppy']"
['vwap_pc'],0,34.32203389830508,-31.659649603639245,"['Bull', 'Bear', 'Choppy']"
['vwap_pc'],1,34.32203389830508,-31.659649603639245,"['Choppy', 'Bear', 'Bull']"
['vwap_pc'],2,34.32203389830508,-31.659649603639245,"['Choppy', 'Bull', 'Bear']"
['vwap_pc'],3,34.32203389830508,-31.659649603639245,"['Choppy', 'Bear', 'Bull']"
['vwap_pc'],4,38.983050847457626,-9.88156473061478,"['Bear', 'Bull', 'Choppy']"
['vwap_pc'],5,38.983050847457626,-9.88156473061478,"['Bull', 'Choppy', 'Bear']"
['vwap_pc'],6,35.38135593220339,-32.270546019334375,"['Bear', 'Bull', 'Choppy']"
['vwap_pc'],7,34.32203389830508,-31.659649603639245,"['Bull', 'Bear', 'Choppy']"
['vwap_pc'],8,34.32203389830508,-31.659649603639245,"['Choppy', 'Bear', 'Bull']"
['vwap_pc'],9,34.95762711864407,-18.56051604976789,"['Bull', 'Bear', 'Choppy']"
['trade_count_pc'],0,31.779661016949152,24.296560780292435,"['Bear', 'Bull', 'Choppy']"
['trade_count_pc'],1,35.38135593220339,20.983315692958605,"['Bear', 'Bull', 'Choppy']"
['trade_count_pc'],2,35.38135593220339,20.983315692958605,"['Bear', 'Choppy', 'Bull']"
['trade_count_pc'],3,35.38135593220339,20.983315692958605,"['Bear', 'Bull', 'Choppy']"
['trade_count_pc'],4,35.38135593220339,20.983315692958605,"['Bear', 'Choppy', 'Bull']"
['trade_count_pc'],5,31.779661016949152,24.296560780292435,"['Choppy', 'Bull', 'Bear']"
['trade_count_pc'],6,35.38135593220339,20.983315692958605,"['Bull', 'Choppy', 'Bear']"
['trade_count_pc'],7,35.38135593220339,20.983315692958605,"['Choppy', 'Bull', 'Bear']"
['trade_count_pc'],8,31.779661016949152,24.296560780292435,"['Choppy', 'Bull', 'Bear']"
['trade_count_pc'],9,35.38135593220339,20.983315692958605,"['Choppy', 'Bull', 'Bear']"
['fracocp'],0,37.07627118644068,-33.78511736739003,"['Bull', 'Bear', 'Choppy']"
['fracocp'],1,37.07627118644068,0.5932480075452438,"['Choppy', 'Bear', 'Bull']"
['fracocp'],2,37.28813559322034,9.953951961319474,"['Choppy', 'Bull', 'Bear']"
['fracocp'],3,37.28813559322034,10.415470120188411,"['Choppy', 'Bear', 'Bull']"
['fracocp'],4,27.11864406779661,8.238908010464945,"['Bull', 'Choppy', 'Bear']"
['fracocp'],5,28.60169491525424,-38.02437778200958,"['Choppy', 'Bull', 'Bear']"
['fracocp'],6,26.906779661016948,8.238908010464945,"['Bear', 'Choppy', 'Bull']"
['fracocp'],7,37.07627118644068,0.5932480075452438,"['Bull', 'Bear', 'Choppy']"
['fracocp'],8,37.07627118644068,-23.58715081172838,"['Choppy', 'Bear', 'Bull']"
['fracocp'],9,36.228813559322035,0.2586177557986738,"['Bull', 'Bear', 'Choppy']"
['frachp'],0,35.80508474576271,-27.286973347636156,"['Bull', 'Choppy', 'Bear']"
['frachp'],1,35.80508474576271,-27.286973347636156,"['Bear', 'Choppy', 'Bull']"
['frachp'],2,35.80508474576271,-27.286973347636156,"['Bear', 'Bull', 'Choppy']"
['frachp'],3,35.80508474576271,-27.286973347636156,"['Bear', 'Choppy', 'Bull']"
['frachp'],4,35.80508474576271,-27.286973347636156,"['Bear', 'Bull', 'Choppy']"
['frachp'],5,30.508474576271187,-44.845800380100826,"['Bear', 'Bull', 'Choppy']"
