Features,Accuracy
['open_pc'],28.632938643702904
['high_pc'],31.969860064585575
['low_pc'],34.01506996770721
['close_pc'],54.467168998923576
['volume_pc'],33.90742734122713
['vwap_pc'],47.79332615715823
['fracocp'],28.094725511302478
['frachp'],35.09149623250807
['fraclp'],33.3692142088267
['sma_1'],49.6232508073197
['sma_2'],24.865446716899893
['sma_3'],34.01506996770721
['sma_4'],26.80301399354144
['ema_1'],51.45317545748116
['ema_2'],48.65446716899892
['ema_3'],46.60925726587728
['ema_4'],42.19590958019376
['atr'],48.762109795479006
['natr'],28.202368137782564
['rsi'],42.84176533907427
['slow_k'],35.30678148546825
['slow_d'],36.490850376749194
['three_black_crows'],0.0
['three_inside'],55.758880516684606
['three_lines'],55.543595263724434
['three_outside'],54.68245425188375
['three_stars'],0.0
['three_whitesoldiers'],0.0
['abandoned_baby'],37.244348762109794
['advance_block'],0.0
['belthold'],50.91496232508074
['breakaway'],0.0
['closing_marubozu'],52.63724434876211
['conceal_baby'],0.0
['counterattack'],0.0
['dark_cloud_cover'],0.0
['doji'],0.0
['doji_star'],55.22066738428417
['dragonfly_doji'],0.0
['engulfing'],21.09795479009688
['evening_doji_star'],0.0
['evening_star'],0.0
['gap_side_by_side'],21.743810548977397
['gravestone_doji'],0.0
['hammer'],0.0
['hanging_man'],0.0
['harami'],53.17545748116254
['harami_cross'],38.966630785791175
['high_wave'],51.34553283100107
['hikkake'],37.244348762109794
['homing_pigeon'],0.0
['identical_three_crows'],0.0
['in_neck'],20.990312163616792
['inverted_hammer'],0.0
['kicking'],0.0
['kicking_by_length'],0.0
['ladder_bottom'],0.0
['long_leader'],0.0
['long_line'],51.77610333692142
['marubozu'],54.68245425188375
['matching_low'],0.0
['mat_hold'],0.0
['morning_doji_star'],0.0
['morning_star'],0.0
['on_neck'],0.0
['piercing'],0.0
['rickshaw_man'],0.0
['rise_fall_three_methods'],0.0
['separating_lines'],55.758880516684606
['shooting_star'],21.743810548977397
['short_line'],44.67168998923574
['spinning_top'],49.08503767491927
['stalled_pattern'],0.0
['stick_sandwich'],0.0
['takuri'],0.0
['tasuki_gap'],55.543595263724434
['thrusting'],0.0
['tristar'],55.43595263724435
['unique_3_river'],0.0
['upside_gap_2_crows'],0.0
['side_gap_3_methods'],0.0
['ad'],21.743810548977397
['adosc'],45.425188374596345
['obv'],55.43595263724435
['adx'],34.983853606027985
['ht_trendline'],42.94940796555436
['kama'],49.30032292787944
['mama'],46.39397201291712
['fama'],49.30032292787944
['sar'],24.97308934337998
['volatility'],28.84822389666308
"['open_pc', 'high_pc']",31.216361679224974
"['open_pc', 'low_pc']",33.90742734122713
"['open_pc', 'close_pc']",39.93541442411195
"['open_pc', 'volume_pc']",50.91496232508074
"['open_pc', 'vwap_pc']",47.255113024757804
"['open_pc', 'fracocp']",21.95909580193757
"['open_pc', 'frachp']",36.490850376749194
"['open_pc', 'fraclp']",34.01506996770721
"['open_pc', 'sma_1']",52.85252960172229
"['open_pc', 'sma_2']",38.536060279870824
"['open_pc', 'sma_3']",23.2508073196986
"['open_pc', 'sma_4']",26.80301399354144
"['open_pc', 'ema_1']",52.09903121636168
"['open_pc', 'ema_2']",23.57373519913886
"['open_pc', 'ema_3']",49.192680301399356
"['open_pc', 'ema_4']",28.74058127018299
"['open_pc', 'atr']",50.3767491926803
