Features,Extras,Accuracy
"['fracocp', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",52.40962600270862
"['frachp', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",51.628831467726755
"['fraclp', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",52.00966488076478
"['sma_1', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",51.619369131764955
"['sma_2', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",51.20457675601229
"['sma_3', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",53.66953931269284
"['sma_4', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",53.557003953413826
"['ema_1', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",51.866080051507666
"['ema_2', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",51.576678521392395
"['ema_3', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",51.44063210304145
